Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.47u/25V,C_0402_1005Metric,138.900006,-103.36714,150.0,bottom
C10,0.22u/25V,C_0402_1005Metric,141.974989,-98.041078,300.0,bottom
C11,0.22u/25V,C_0402_1005Metric,140.950004,-99.81643,300.0,bottom
C12,0.22u/25V,C_0402_1005Metric,139.924995,-101.591783,300.0,bottom
C13,0.47u/25V,C_0402_1005Metric,142.994,-101.0,90.0,bottom
C2,0.22u/25V,C_0402_1005Metric,140.95,-103.367,180.0,bottom
C3,0.22u/25V,C_0402_1005Metric,143.0,-103.367138,180.0,bottom
C4,0.22u/25V,C_0402_1005Metric,145.05,-103.367139,180.0,bottom
C5,0.47u/25V,C_0402_1005Metric,147.100005,-103.367139,30.0,bottom
C6,0.22u/25V,C_0402_1005Metric,146.074994,-101.591782,60.0,bottom
C7,0.22u/25V,C_0402_1005Metric,145.05,-99.81643,60.0,bottom
C8,0.22u/25V,C_0402_1005Metric,144.024994,-98.041083,60.0,bottom
C9,0.47u/25V,C_0402_1005Metric,143.000005,-96.265732,270.0,bottom
U1,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,135.854999,-105.142489,0.0,top
U10,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,148.124999,-101.591784,120.0,top
U11,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,147.099999,-99.816432,120.0,top
U12,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,146.074999,-98.04108,120.0,top
U13,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,145.049999,-96.265728,120.0,top
U14,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,144.024999,-94.490376,120.0,top
U15,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,142.984999,-92.741005,-120.0,top
U16,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,141.974999,-94.490376,-120.0,top
U17,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,140.949999,-96.265728,-120.0,top
U18,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,139.924999,-98.04108,-120.0,top
U19,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,138.899999,-99.816432,-120.0,top
U2,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,137.874999,-105.142489,0.0,top
U20,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,137.874999,-101.591784,-120.0,top
U21,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,136.849999,-103.367137,-120.0,top
U22,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,138.899999,-103.367137,0.0,top
U23,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,140.950005,-103.367,0.0,top
U24,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,142.999999,-103.367137,0.0,top
U25,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,145.049999,-103.367137,0.0,top
U26,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,147.099999,-103.367137,120.0,top
U27,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,146.074999,-101.591784,120.0,top
U28,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,145.049999,-99.816432,120.0,top
U29,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,144.024999,-98.04108,120.0,top
U3,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,139.924999,-105.142489,0.0,top
U30,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,142.999999,-96.265728,-120.0,top
U31,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,141.974999,-98.04108,-120.0,top
U32,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,140.949999,-99.816432,-120.0,top
U33,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,139.924999,-101.591784,-120.0,top
U34,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,141.974999,-101.591784,0.0,top
U35,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,144.024999,-101.591784,120.0,top
U36,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,142.999999,-99.816432,-120.0,top
U4,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,141.974999,-105.142489,0.0,top
U5,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,144.024999,-105.142489,0.0,top
U6,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,146.074999,-105.142489,0.0,top
U7,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,148.124999,-105.142489,0.0,top
U8,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,150.159999,-105.116508,120.0,top
U9,SK6805-EC10,LED_SK6805-EC10-SMD_4P-L1.1-W1.1-P0.63-TR,149.149999,-103.367137,120.0,top
