face,sub,triangle_id
0,0,1
0,1,16
0,2,3
0,3,2
1,0,4
1,1,15
1,2,13
1,3,14
2,0,12
2,1,7
2,2,5
2,3,6
3,0,9
3,1,8
3,2,11
3,3,10
4,0,17
4,1,32
4,2,19
4,3,18
5,0,20
5,1,31
5,2,29
5,3,30
6,0,28
6,1,23
6,2,21
6,3,22
7,0,25
7,1,24
7,2,27
7,3,26
8,0,33
8,1,48
8,2,35
8,3,34
9,0,36
9,1,47
9,2,45
9,3,46
10,0,44
10,1,39
10,2,37
10,3,38
11,0,41
11,1,40
11,2,43
11,3,42
12,0,49
12,1,64
12,2,51
12,3,50
13,0,52
13,1,63
13,2,61
13,3,62
14,0,60
14,1,55
14,2,53
14,3,54
15,0,57
15,1,56
15,2,59
15,3,58
16,0,65
16,1,80
16,2,67
16,3,66
17,0,68
17,1,79
17,2,77
17,3,78
18,0,76
18,1,71
18,2,69
18,3,70
19,0,73
19,1,72
19,2,75
19,3,74
